same,same,same,-,yes,no
same,same,same,yes,no,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,no,yes,no
same,same,same,yes,no,yes
same,more,same,-,-,yes
same,less,same,-,-,no
less,same,same,yes,no,yes
more,same,same,no,yes,no
same,same,same,-,-,yes
same,same,same,-,-,yes
less,same,more,-,-,no
more,same,less,no,no,yes
more,same,same,yes,no,yes
less,same,same,-,yes,no
same,more,same,no,no,yes
same,less,same,-,-,no
less,same,less,no,no,no
more,same,more,-,-,yes
same,same,same,-,-,yes
same,same,same,no,no,yes
same,same,same,no,yes,no
same,same,same,yes,no,yes
same,more,same,-,-,yes
same,less,same,no,no,no
more,same,more,yes,no,yes
less,same,less,no,yes,no
more,more,more,-,yes,yes
less,less,less,yes,no,no
same,more,same,-,-,yes
same,less,same,-,-,no
more,more,same,yes,no,yes
less,less,same,no,yes,no
same,same,same,yes,no,yes
same,same,same,-,yes,no
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,no,no,yes
same,same,same,-,-,yes
more,more,less,-,-,yes
less,less,more,-,-,no
less,less,same,-,-,no
more,more,same,-,-,yes
same,same,same,no,no,yes
same,same,same,-,-,yes
same,same,same,yes,no,yes
same,same,same,-,yes,no
less,same,same,-,-,no
more,same,same,-,-,yes
more,same,less,yes,no,yes
less,same,more,no,yes,no
more,more,less,no,yes,no
less,less,more,yes,no,yes
same,less,same,-,-,no
same,more,same,-,-,yes
same,more,same,-,yes,no
same,less,same,yes,no,yes
less,same,same,-,-,no
more,same,same,no,no,yes
same,more,same,-,-,yes
same,less,same,-,-,no
less,same,same,-,-,no
more,same,same,no,no,yes
same,more,same,-,-,yes
same,less,same,-,-,no
more,same,less,-,-,yes
less,same,more,-,-,no
more,same,same,yes,no,yes
less,same,same,no,yes,no
same,same,same,no,no,yes
same,same,same,-,-,yes
more,same,less,-,-,yes
less,same,more,no,no,no
same,same,same,no,yes,no
same,same,same,yes,no,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
less,same,more,-,-,no
more,same,less,-,-,yes
less,same,more,-,-,no
more,same,less,no,no,yes
less,same,same,yes,no,yes
more,same,same,no,yes,no
same,same,same,yes,no,yes
same,same,same,no,yes,no
more,same,more,-,-,yes
less,same,less,-,-,no
more,same,same,-,-,yes
less,same,same,no,no,no
same,same,same,no,no,yes
same,same,same,-,-,yes
same,same,same,-,yes,no
same,same,same,yes,no,yes
more,more,less,-,-,yes
less,less,more,-,-,no
same,same,same,-,-,yes
same,same,same,-,-,yes
same,less,same,no,no,no
same,more,same,-,-,yes
more,more,more,yes,no,yes
less,less,less,no,yes,yes
less,less,more,-,-,no
more,more,less,no,no,yes
less,same,more,-,-,no
more,same,less,-,-,yes
same,less,same,-,-,no
same,more,same,-,-,yes
more,more,less,-,yes,no
less,less,more,yes,no,yes
same,more,same,-,-,yes
same,less,same,-,-,no
less,same,more,-,-,no
more,same,less,-,-,yes
same,same,same,yes,no,yes
same,same,same,no,yes,no
same,less,same,-,-,no
same,more,same,no,no,yes
less,less,same,yes,no,no
more,more,same,-,yes,no
same,same,same,no,no,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
more,more,same,-,-,yes
less,less,same,-,-,no
same,same,same,yes,no,yes
same,same,same,no,yes,no
same,same,same,-,-,yes
same,same,same,no,no,yes
less,same,same,no,no,no
more,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
more,same,same,-,-,yes
less,same,same,-,-,no
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,yes,no,yes
same,same,same,no,yes,no
same,same,same,-,-,yes
same,same,same,no,no,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
more,more,same,-,-,yes
less,less,same,-,-,no
less,same,same,no,no,no
more,same,same,-,-,yes
more,same,less,-,-,yes
less,same,more,-,-,no
more,more,more,no,yes,no
less,less,less,yes,no,yes
less,same,more,-,-,no
more,same,less,-,-,yes
same,same,same,yes,no,yes
same,same,same,no,yes,no
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
same,same,same,no,no,yes
less,same,same,-,-,no
more,same,same,no,no,yes
same,more,same,yes,no,yes
same,less,same,no,yes,no
less,same,more,no,yes,no
more,same,less,yes,no,yes
same,same,same,no,no,yes
same,same,same,-,-,yes
more,same,less,-,-,yes
less,same,more,-,-,no
same,same,same,-,yes,no
same,same,same,yes,no,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
less,less,more,-,-,no
more,more,less,-,-,yes
more,same,more,-,-,yes
less,same,less,-,-,no
same,less,same,-,-,no
same,more,same,-,-,yes
same,same,same,yes,no,yes
same,same,same,no,yes,no
same,same,less,-,-,no
same,same,more,-,-,yes
more,more,same,-,-,yes
less,less,same,-,-,no
less,same,more,-,-,no
more,same,less,-,-,yes
same,less,same,yes,no,yes
same,more,same,-,yes,no
same,same,same,-,-,yes
same,same,same,no,no,yes
same,same,same,-,-,yes
same,same,same,-,-,yes
same,less,same,yes,no,yes
same,more,same,-,yes,no
same,more,same,-,-,yes
same,less,same,-,-,no